Well,V_pl_1,V_pl_2,CBD_pl_1,CBD_pl_2,veh,cbd,fr_change,log_fr_change
F17,439478,281142,309257,283272,360310,296264.5,0.8222488967833255,-0.282
F18,323083,281977,262991,249877,302530,256434,0.8476316398373716,-0.238
F19,430331,339039,290917,319098,384685,305007.5,0.7928759894459103,-0.335
F20,269963,248937,258615,203196,259450,230905.5,0.8899807284640586,-0.168
F21,350477,277165,406208,319757,313821,362982.5,1.1566545897183427,0.21
F22,244071,98322,262686,106301,171196.5,184493.5,1.077670980423081,0.108
F23,450917,344609,349313,460826,397763,405069.5,1.0183689785123302,0.026
F24,583602,572058,451578,531108,577830,491343,0.8503244899018743,-0.234
G01,626598,486803,500075,484866,556700.5,492470.5,0.8846237788541594,-0.177
G02,303682,308317,316773,376559,305999.5,346666,1.132897275975941,0.18
G03,279018,286612,239565,300887,282815,270226,0.9554868023266093,-0.066
G04,221499,282014,208571,255237,251756.5,231904,0.9211440419611807,-0.119
G05,253888,229319,256523,229934,241603.5,243228.5,1.006725895941077,0.01
G06,304615,240365,238404,192662,272490,215533,0.7909758156262615,-0.338
G07,270950,297994,267804,254168,284472,260986,0.9174400292471667,-0.124
G08,277174,243258,241653,223220,260216,232436.5,0.8932444584499032,-0.163
G09,265727,261132,256042,248456,263429.5,252249,0.9575579044867792,-0.063
G10,290684,259933,280756,228933,275308.5,254844.5,0.9256688405915545,-0.111
G11,280482,296290,284328,299157,288386,291742.5,1.0116389145104132,0.017
G12,334438,226515,250231,240386,280476.5,245308.5,0.8746133811567101,-0.193
G13,295344,314960,293225,286078,305152,289651.5,0.949204003250839,-0.075
G14,254997,285735,274396,200926,270366,237661,0.8790343460346345,-0.186
G15,268847,239607,320925,209629,254227,265277,1.0434650922207318,0.061
G16,260536,169525,250397,263273,215030.5,256835,1.1944119555132877,0.256
G17,297070,240200,320724,229969,268635,275346.5,1.024983713961323,0.036
G18,276441,204143,319431,204354,240292,261892.5,1.0898927138647978,0.124
G19,267293,235624,266741,172097,251458.5,219419,0.8725853371431072,-0.197
G20,273427,183264,250701,260743,228345.5,255722,1.11989069195583,0.163
G21,277976,224510,244478,287190,251243,265834,1.0580752498577075,0.081
G22,273092,201749,294904,265957,237420.5,280430.5,1.1811553762206717,0.24
G23,395876,253227,338880,379689,324551.5,359284.5,1.1070184546982529,0.147
G24,508953,394176,506166,378502,451564.5,442334,0.9795588448604795,-0.03
H01,404450,225725,260221,310383,315087.5,285302,0.9054691157218233,-0.143
H02,126393,43655,75030,89411,85024,82220.5,0.9670269570944674,-0.048
H03,247684,225715,197946,278708,236699.5,238327,1.0068758066662582,0.01
H04,256591,295082,294955,226321,275836.5,260638,0.9449003304493785,-0.082
H05,145842,169834,178969,158638,157838,168803.5,1.0694731306782903,0.097
H06,205127,188651,183669,192053,196889,187861,0.9541467527388529,-0.068
H07,142325,117991,139166,122262,130158,130714,1.0042717312804437,0.006
H08,208416,267123,221759,244433,237769.5,233096,0.9803444091862077,-0.029
H09,191461,208008,220990,153120,199734.5,187055,0.9365182279476004,-0.095
H10,225556,185204,215717,218176,205380,216946.5,1.0563175576979258,0.079
H11,248437,238629,221017,168657,243533,194837,0.8000435259287242,-0.322
H12,253770,243135,228808,277879,248452.5,253343.5,1.0196858554452057,0.028
H13,95191,86974,133767,86496,91082.5,110131.5,1.2091400653253919,0.274
H14,114430,112141,114262,95244,113285.5,104753,0.9246814464340096,-0.113
H15,180594,189470,190376,202186,185032,196281,1.0607948895326214,0.085
H16,132971,93417,171162,104204,113194,137683,1.21634538933159,0.283
H17,199840,158027,216118,163181,178933.5,189649.5,1.0598881707449974,0.084
H18,255076,276395,249286,196842,265735.5,223064,0.8394211537412202,-0.253
H19,219303,246940,211900,149429,233121.5,180664.5,0.7749799996997274,-0.368
H20,218554,208742,201905,176171,213648,189038,0.8848105294690332,-0.177
H21,123932,140954,162422,91307,132443,126864.5,0.957879993657649,-0.062
H22,315229,171730,216324,97539,243479.5,156931.5,0.6445368090537397,-0.634
H23,115630,118285,172971,99304,116957.5,136137.5,1.1639911933822116,0.219
H24,381927,309836,367489,252498,345881.5,309993.5,0.8962419210047372,-0.158
I01,665405,562994,568788,453865,614199.5,511326.5,0.8325088183888134,-0.264
I02,541826,420006,312672,448930,480916,380801,0.7918243518618636,-0.337
I03,445803,449943,291469,395742,447873,343605.5,0.7671940483128029,-0.382
I04,332861,387458,420061,325116,360159.5,372588.5,1.0345097102811394,0.049
I05,270636,256311,308371,324368,263473.5,316369.5,1.200764023706369,0.264
I06,306943,352096,338272,226046,329519.5,282159,0.8562740596535258,-0.224
I07,308802,401785,311146,347966,355293.5,329556,0.9275598906256377,-0.108
I08,412002,275844,353969,427521,343923,390745,1.1361409385240302,0.184
I09,369172,381385,375057,332698,375278.5,353877.5,0.9429730187047752,-0.085
I10,479421,373227,321975,398897,426324,360436,0.8454508777361819,-0.242
I11,420507,412367,407142,353137,416437,380139.5,0.9128379562815023,-0.132
I12,347350,278983,263057,349211,313166.5,306134,0.9775438943820619,-0.033
I13,443557,375246,349114,368152,409401.5,358633,0.8759933708108055,-0.191
I14,358649,334758,397141,298095,346703.5,347618,1.0026377005135512,0.004
I15,262238,278851,353445,405510,270544.5,379477.5,1.4026435577141654,0.488
I16,294794,388063,460892,278147,341428.5,369519.5,1.0822749126098143,0.114
I17,394472,332165,344132,334976,363318.5,339554,0.9345904488761239,-0.098
I18,403077,332144,369504,365079,367610.5,367291.5,0.99913223370932,-0.001
I19,300601,373858,391799,230778,337229.5,311288.5,0.9230761247162541,-0.115
I20,340801,289694,368480,300810,315247.5,334645,1.0615310192785035,0.086
I21,331385,278002,376810,349416,304693.5,363113,1.1917320192258778,0.253
I22,314488,339979,366909,328467,327233.5,347688,1.0625073533119318,0.087
I23,375991,336481,362405,326324,356236,344364.5,0.9666751816211725,-0.049
I24,520562,497210,520775,509918,508886,515346.5,1.0126953777466858,0.018
J01,137761,139594,48961,142422,138677.5,95691.5,0.6900290241747941,-0.535
J02,386032,188761,307063,329596,287396.5,318329.5,1.1076317909229931,0.147
J03,372775,389517,385585,378737,381146,382161,1.0026630215193129,0.004
J04,330755,353431,385667,354908,342093,370287.5,1.0824176466633342,0.114
J05,274764,243074,198645,228695,258919,213670,0.8252387812404651,-0.277
J06,329033,248332,268258,335474,288682.5,301866,1.0456678184510664,0.064
J07,306484,321791,323120,300666,314137.5,311893,0.9928550395925351,-0.01
J08,94062,137756,115020,131990,115909,123505,1.065534169046407,0.092
J09,178259,252709,221186,196130,215484,208658,0.9683224740583988,-0.046
J10,273772,268808,331519,267533,271290,299526,1.1040805042574366,0.143
J11,323861,261551,448031,337286,292706,392658.5,1.3414774551939488,0.424
J12,303511,298101,392339,382768,300806,387553.5,1.2883835428814585,0.366
J13,298763,273883,316108,181992,286323,249050,0.8698218445601645,-0.201
J14,377991,325521,336537,355046,351756,345791.5,0.9830436438895144,-0.025
J15,515781,361708,588889,460123,438744.5,524506,1.1954702566072053,0.258
J16,269321,271313,292394,276145,270317,284269.5,1.0516153257101848,0.073
J17,406516,285448,471136,243697,345982,357416.5,1.033049407194594,0.047
J18,268194,344208,366040,243478,306201,304759,0.9952906750794412,-0.007
J19,255397,372576,288436,263853,313986.5,276144.5,0.8794788947932475,-0.185
J20,305455,313819,399361,236744,309637,318052.5,1.0271785994567832,0.039
J21,229907,251528,265090,179087,240717.5,222088.5,0.9226105289395246,-0.116
J22,353155,189387,207685,133577,271271,170631,0.6290056806661972,-0.669
J23,184067,380070,247261,146968,282068.5,197114.5,0.6988178403472916,-0.517
J24,137229,165855,191860,181952,151542,186906,1.2333610484222195,0.303
K01,632244,564919,490346,434316,598581.5,462331,0.7723776962702656,-0.373
K02,377793,352128,355365,368001,364960.5,361683,0.9910195760911112,-0.013
K03,370704,313504,300117,296881,342104,298499,0.8725387601431144,-0.197
K04,287781,350790,323236,292630,319285.5,307933,0.9644440477253117,-0.052
K05,269608,288916,302678,262061,279262,282369.5,1.0111275433105829,0.016
K06,336469,278527,325102,230223,307498,277662.5,0.9029733526722125,-0.147
K07,340023,348025,319444,297596,344024,308520,0.8967978978210822,-0.157
K08,343429,322712,362888,288852,333070.5,325870,0.9783814537763026,-0.032
K09,337594,305472,331560,254495,321533,293027.5,0.9113450252384669,-0.134
K10,391051,336219,368958,234740,363635,301849,0.8300878628294857,-0.269
K11,352679,293291,291291,275003,322985,283147,0.8766568106878029,-0.19
K12,288327,285121,320099,269001,286724,294550,1.0272945410917818,0.039
K13,325081,330456,341441,302810,327768.5,322125.5,0.9827835804843967,-0.025
K14,377402,319806,331011,300441,348604,315726,0.9056866817362967,-0.143
K15,295928,282539,363548,317030,289233.5,340289,1.1765200089201286,0.235
K16,377569,255204,350555,325803,316386.5,338179,1.0688793611611116,0.096
K17,380634,250720,358698,301351,315677,330024.5,1.0454499377528297,0.064
K18,347654,328947,400137,334601,338300.5,367369,1.0859250873114288,0.119
K19,294316,283446,330860,303580,288881,317220,1.0980992173247808,0.135
K20,283778,238007,324840,227889,260892.5,276364.5,1.059304119512826,0.083
K21,394858,250646,346917,264552,322752,305734.5,0.947273758179655,-0.078
K22,320751,292106,396862,288657,306428.5,342759.5,1.1185627315997044,0.162
K23,422504,337661,385822,380270,380082.5,383046,1.0077969914426472,0.011
K24,669068,593822,642618,591869,631445,617243.5,0.9775095218110841,-0.033
L01,438738,371087,259949,284659,404912.5,272304,0.672500848948847,-0.572
L02,192477,57872,43208,77524,125174.5,60366,0.4822547723378164,-1.052
L03,272605,273276,359720,330819,272940.5,345269.5,1.2649991481659921,0.339
L04,333075,224860,307782,214722,278967.5,261252,0.9364961868317994,-0.095
L05,349402,367247,315383,200047,358324.5,257715,0.7192223808307833,-0.475
L06,293378,217236,252901,243336,255307,248118.5,0.9718437018961485,-0.041
L07,232902,178002,205990,224188,205452,215089,1.0469063333528026,0.066
L08,182448,252264,181424,203764,217356,192594,0.8860762987909236,-0.174
L09,223390,335312,317598,232779,279351,275188.5,0.9850993910886304,-0.022
L10,229905,210680,207259,232856,220292.5,220057.5,0.9989332364923909,-0.002
L11,87138,110471,116700,70485,98804.5,93592.5,0.9472493661725934,-0.078
L12,323129,180363,236221,242914,251746,239567.5,0.9516238589689607,-0.072
L13,39436,38138,38166,38666,38787,38416,0.990434939541599,-0.014
L14,163481,198039,91361,119904,180760,105632.5,0.5843798406727152,-0.775
L15,327786,348980,300297,228485,338383,264391,0.7813365328636486,-0.356
L16,103981,83911,109879,89379,93946,99629,1.060492197645456,0.085
L17,378988,295091,319348,235039,337039.5,277193.5,0.8224362426362488,-0.282
L18,356300,277121,310727,200256,316710.5,255491.5,0.806703598396643,-0.31
L19,345247,318087,303622,215977,331667,259799.5,0.7833142881263436,-0.352
L20,315920,294738,255359,167149,305329,211254,0.6918897320595161,-0.531
L21,175282,157414,149303,147858,166348,148580.5,0.8931907807728376,-0.163
L22,246739,280327,244101,135361,263533,189731,0.7199515810164192,-0.474
L23,158442,152818,123770,83642,155630,103706,0.6663625265051725,-0.586
L24,445489,432185,502042,249530,438837,375786,0.856322506990067,-0.224
M01,545720,533120,498183,508392,539420,503287.5,0.9330160172036632,-0.1
M02,362996,310502,387816,307570,336749,347693,1.0324989829219984,0.046
M03,419254,333661,354515,375785,376457.5,365150,0.969963408884137,-0.044
M04,273315,361602,282513,291178,317458.5,286845.5,0.9035684979296507,-0.146
M05,298069,357489,301526,281640,327779,291583,0.8895719371893868,-0.169
M06,326844,329428,313744,277496,328136,295620,0.9009069410244532,-0.151
M07,339031,306489,324708,319837,322760,322272.5,0.9984895897880778,-0.002
M08,343860,265162,321249,261220,304511,291234.5,0.9564005897980697,-0.064
M09,372297,274764,306354,356763,323530.5,331558.5,1.0248137347174378,0.035
M10,366193,271010,328556,219688,318601.5,274122,0.8603914294188822,-0.217
M11,399606,317584,330643,409470,358595,370056.5,1.0319622415259555,0.045
M12,358139,313945,272090,370688,336042,321389,0.9563953315359389,-0.064
M13,438904,336782,326724,323832,387843,325278,0.8386847255203781,-0.254
M14,355625,421875,327438,287758,388750,307598,0.7912488745980707,-0.338
M15,361175,322689,353441,333692,341932,343566.5,1.0047801902132587,0.007
M16,294163,251384,379392,233532,272773.5,306462,1.1235035661455384,0.168
M17,360076,261891,359406,292053,310983.5,325729.5,1.0474173067059829,0.067
M18,337599,250898,323401,325788,294248.5,324594.5,1.1031305172328831,0.142
M19,292380,315430,355776,301944,303905,328860,1.0821144765633997,0.114
M20,320401,246951,329928,256256,283676,293092,1.0331927974167712,0.047
M21,350874,238049,322585,329364,294461.5,325974.5,1.1070190839889085,0.147
M22,328339,281189,379054,332339,304764,355696.5,1.167121116667323,0.223
M23,404509,343271,457960,385470,373890,421715,1.127911952713365,0.174
M24,502322,479979,666989,553873,491150.5,610431,1.2428593679534075,0.314
N01,578705,517206,573918,534454,547955.5,554186,1.0113704488776918,0.016
N02,535550,310781,372290,313654,423165.5,342972,0.8104914034816165,-0.303
N03,420284,295395,309072,311357,357839.5,310214.5,0.8669096061222978,-0.206
N04,276765,303044,326132,284262,289904.5,305197,1.0527501297841186,0.074
N05,347443,282944,258191,204203,315193.5,231197,0.733508146582972,-0.447
N06,317217,211661,276303,316846,264439,296574.5,1.1215233002696274,0.165
N07,289286,294210,259858,316927,291748,288392.5,0.9884986358089858,-0.017
N08,243833,375542,254141,277533,309687.5,265837,0.8584040363269425,-0.22
N09,279082,391906,370252,272098,335494,321175,0.9573196540027541,-0.063
N10,278659,237347,266725,240044,258003,253384.5,0.9820990453599376,-0.026
N11,417461,283281,270610,311660,350371,291135,0.8309334962083049,-0.267
N12,359930,272436,237604,344978,316183,291291,0.9212734397485001,-0.118
N13,233316,188276,209505,248375,210796,228940,1.0860737395396498,0.119
N14,358757,307620,401273,344835,333188.5,373054,1.119648487267718,0.163
N15,333244,218764,366427,179152,276004,272789.5,0.9883534296604397,-0.017
N16,316622,340950,272651,207228,328786,239939.5,0.7297740779716898,-0.454
N17,353044,262925,312357,167252,307984.5,239804.5,0.7786252230225872,-0.361
N18,41096,41606,42919,42457,41351,42688,1.0323329544630118,0.046
N19,342880,320249,328666,185406,331564.5,257036,0.7752217140254762,-0.367
N20,366764,292991,330673,200418,329877.5,265545.5,0.804982152465688,-0.313
N21,406378,292557,256091,253317,349467.5,254704,0.7288345840457268,-0.456
N22,272153,299372,220860,61767,285762.5,141313.5,0.4945138007961157,-1.016
N23,485372,392757,383864,386705,439064.5,385284.5,0.8775123017233231,-0.189
N24,652966,506676,670654,403749,579821,537201.5,0.9264954184136138,-0.11
O01,647560,357957,446649,494070,502758.5,470359.5,0.9355575291118897,-0.096
O02,503775,358264,486267,449041,431019.5,467654,1.0849949944260062,0.118
O03,437337,370109,438938,388451,403723,413694.5,1.0246988653111169,0.035
O04,323802,433428,454132,347760,378615,400946,1.0589807588183247,0.083
O05,347330,334033,398473,396696,340681.5,397584.5,1.1670269738744252,0.223
O06,406908,333164,429176,346886,370036,388031,1.0486304035283054,0.069
O07,464031,379601,512491,386065,421816,449278,1.06510421605629,0.091
O08,427453,361786,429739,374623,394619.5,402181,1.0191614960740663,0.027
O09,389942,327124,407524,300016,358533,353770,0.9867153093299641,-0.019
O10,457716,386975,438664,389440,422345.5,414052,0.9803632334190846,-0.029
O11,450762,364008,467400,372022,407385,419711,1.0302563913742528,0.043
O12,457103,375723,412712,445165,416413,428938.5,1.0300795124071536,0.043
O13,374660,405813,436180,397143,390236.5,416661.5,1.0677153469754879,0.095
O14,470583,397643,478690,346267,434113,412478.5,0.9501638974184141,-0.074
O15,417149,372119,438299,361258,394634,399778.5,1.0130361296796526,0.019
O16,422152,315241,442959,323358,368696.5,383158.5,1.0392246739526956,0.056
O17,527234,303028,466235,360466,415131,413350.5,0.9957109924337137,-0.006
O18,523452,394374,531730,336189,458913,433959.5,0.9456247698365485,-0.081
O19,469289,400367,466868,383835,434828,425351.5,0.9782063252596429,-0.032
O20,488178,307333,469683,310258,397755.5,389970.5,0.9804276747901663,-0.029
O21,447489,300776,486309,367723,374132.5,427016,1.1413496555364744,0.191
O22,568270,326894,563431,427545,447582,495488,1.1070329012337403,0.147
O23,614802,393178,512109,487922,503990,500015.5,0.992113930831961,-0.011
O24,551348,590383,675369,525312,570865.5,600340.5,1.0516321270071496,0.073
P01,634516,456581,554300,454879,545548.5,504589.5,0.9249214322832892,-0.113
P02,668467,421378,571950,539186,544922.5,555568,1.0195358055503305,0.028
P03,529490,352784,388390,342163,441137,365276.5,0.8280341481217853,-0.272
P04,437028,383414,515715,428484,410221,472099.5,1.150841863288325,0.203
P05,667499,519821,494548,447661,593660,471104.5,0.7935594448000539,-0.334
P06,505614,428810,426532,323761,467212,375146.5,0.8029470561543796,-0.317
P07,486888,425565,528624,466443,456226.5,497533.5,1.090540553869624,0.125
P08,605004,479801,462471,417664,542402.5,440067.5,0.8113301468927595,-0.302
P09,515282,401114,507891,308267,458198,408079,0.8906171567750186,-0.167
P10,582552,372508,422108,357876,477530,389992,0.816685862668314,-0.292
P11,559450,466461,461790,477409,512955.5,469599.5,0.9154780482907386,-0.127
P12,665405,580421,443806,404869,622913,424337.5,0.6812147121668676,-0.554
P13,675356,470052,571756,361417,572704,466586.5,0.8147079468626026,-0.296
P14,320734,279515,274576,220085,300124.5,247330.5,0.8240930014044172,-0.279
P15,672730,434465,536341,349099,553597.5,442720,0.7997145940868592,-0.322
P16,666979,360200,406918,345949,513589.5,376433.5,0.7329462537688173,-0.448
P17,655455,581611,662802,389967,618533,526384.5,0.8510208832835111,-0.233
P18,661731,462079,635851,348935,561905,492393,0.8762922558083662,-0.191
P19,640962,443474,567700,463322,542218,515511,0.9507449033414604,-0.073
P20,656543,434173,471089,446359,545358,458724,0.8411428822901653,-0.25
P21,663306,395719,671180,446976,529512.5,559078,1.0558353202237907,0.078
