,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
2,M23,-,198569,
2,M24,-,455987,
2,N01,-,262359,
2,N02,-,140802,
2,N03,-,121948,
2,N04,-,141284,
2,N05,-,112239,
2,N06,-,120248,
2,N07,-,113277,
2,N08,-,110377,
2,N09,-,167302,
2,N10,-,117652,
2,N11,-,115697,
2,N12,-,102591,
2,N13,-,90853,
2,N14,-,184458,
2,N15,-,166294,
2,N16,-,118035,
2,N17,-,132584,
2,N18,-,39059,
2,N19,-,141983,
2,N20,-,152513,
2,N21,-,107382,
2,N22,-,91173,
2,N23,-,164267,
2,N24,-,347651,
2,O01,-,189096,
2,O02,-,201029,
2,O03,-,176087,
2,O04,-,179462,
2,O05,-,160978,
2,O06,-,178451,
2,O07,-,250464,
2,O08,-,188094,
2,O09,-,181155,
2,O10,-,200540,
2,O11,-,204907,
2,O12,-,171312,
2,O13,-,182538,
2,O14,-,213318,
2,O15,-,196612,
2,O16,-,204722,
2,O17,-,234378,
2,O18,-,253263,
2,O19,-,194137,
2,O20,-,198905,
2,O21,-,223878,
2,O22,-,269487,
2,O23,-,220980,
2,O24,-,432188,
2,P01,-,260230,
2,P02,-,254986,
2,P03,-,170803,
2,P04,-,234100,
2,P05,-,225716,
2,P06,-,191506,
2,P07,-,241937,
2,P08,-,208996,
2,P09,-,246390,
2,P10,-,195215,
2,P11,-,205943,
2,P12,-,200436,
2,P13,-,263605,
2,P14,-,104903,
2,P15,-,236120,
2,P16,-,160273,
2,P17,-,357919,
2,P18,-,296112,
2,P19,-,269236,
2,P20,-,212563,
2,P21,-,368300,
2,P22,-,340023,
2,P23,-,367315,
2,P24,-,280695,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
3,A01,-,238235,
3,A02,-,193806,
3,A03,-,238460,
3,A04,-,239162,
3,A05,-,222599,
3,A06,-,260042,
3,A07,-,182171,
3,A08,-,180236,
3,A09,-,156676,
3,A10,-,186079,
3,A11,-,260752,
3,A12,-,191070,
3,A13,-,216483,
3,A14,-,168274,
3,A15,-,161103,
3,A16,-,150746,
3,A17,-,146519,
3,A18,-,199427,
3,A19,-,196313,
3,A20,-,146646,
3,A21,-,153839,
3,A22,-,126156,
3,A23,-,191012,
3,A24,-,257769,
3,B01,-,251898,
3,B02,-,118349,
3,B03,-,173542,
3,B04,-,142943,
3,B05,-,133538,
3,B06,-,85746,
3,B07,-,47027,
3,B08,-,152491,
3,B09,-,115161,
3,B10,-,109801,
3,B11,-,89227,
3,B12,-,98656,
3,B13,-,134675,
3,B14,-,106714,
3,B15,-,69552,
3,B16,-,101975,
3,B17,-,89056,
3,B18,-,119484,
3,B19,-,118635,
3,B20,-,90703,
3,B21,-,104163,
3,B22,-,97439,
3,B23,-,121047,
3,B24,-,143164,
3,C01,-,211110,
3,C02,-,128290,
3,C03,-,131332,
3,C04,-,115700,
3,C05,-,117750,
3,C06,-,109113,
3,C07,-,154730,
3,C08,-,143749,
3,C09,-,121345,
3,C10,-,109861,
3,C11,-,120429,
3,C12,-,133367,
3,C13,-,110227,
3,C14,-,153742,
3,C15,-,104356,
3,C16,-,109375,
3,C17,-,97328,
3,C18,-,105911,
3,C19,-,121036,
3,C20,-,100295,
3,C21,-,92222,
3,C22,-,92490,
3,C23,-,111664,
3,C24,-,176932,
3,D01,-,234351,
3,D02,-,105424,
3,D03,-,159362,
3,D04,-,144088,
3,D05,-,60307,
3,D06,-,65976,
3,D07,-,77857,
3,D08,-,45345,
3,D09,-,109224,
3,D10,-,108755,
3,D11,-,130029,
3,D12,-,112832,
3,D13,-,116335,
3,D14,-,62541,
3,D15,-,108554,
3,D16,-,41498,
3,D17,-,107270,
3,D18,-,134349,
3,D19,-,126803,
3,D20,-,65050,
3,D21,-,86951,
3,D22,-,79723,
3,D23,-,114726,
3,D24,-,113629,
3,E01,-,185692,
3,E02,-,123964,
3,E03,-,108909,
3,E04,-,152067,
3,E05,-,81792,
3,E06,-,137837,
3,E07,-,147467,
3,E08,-,133446,
3,E09,-,123347,
3,E10,-,125093,
3,E11,-,124795,
3,E12,-,115592,
3,E13,-,141446,
3,E14,-,219082,
3,E15,-,152259,
3,E16,-,127116,
3,E17,-,128353,
3,E18,-,159624,
3,E19,-,118900,
3,E20,-,123696,
3,E21,-,111980,
3,E22,-,116874,
3,E23,-,118450,
3,E24,-,225540,
3,F01,-,152523,
3,F02,-,62763,
3,F03,-,140940,
3,F04,-,119507,
3,F05,-,102726,
3,F06,-,93176,
3,F07,-,90423,
3,F08,-,102594,
3,F09,-,55718,
3,F10,-,65652,
3,F11,-,195381,
3,F12,-,112572,
3,F13,-,193290,
3,F14,-,37603,
3,F15,-,167773,
3,F16,-,77241,
3,F17,-,115267,
3,F18,-,130907,
3,F19,-,154959,
3,F20,-,109747,
3,F21,-,113792,
3,F22,-,53748,
3,F23,-,146169,
3,F24,-,252704,
3,G01,-,206544,
3,G02,-,119249,
3,G03,-,122802,
3,G04,-,124352,
3,G05,-,107952,
3,G06,-,112513,
3,G07,-,143200,
3,G08,-,112842,
3,G09,-,125124,
3,G10,-,121691,
3,G11,-,146772,
3,G12,-,101864,
3,G13,-,158743,
3,G14,-,134015,
3,G15,-,115590,
3,G16,-,78914,
3,G17,-,113440,
3,G18,-,98013,
3,G19,-,111993,
3,G20,-,82828,
3,G21,-,100394,
3,G22,-,87634,
3,G23,-,98359,
3,G24,-,157302,
3,H01,-,95397,
3,H02,-,38958,
3,H03,-,95577,
3,H04,-,137439,
3,H05,-,76098,
3,H06,-,86519,
3,H07,-,59626,
3,H08,-,126648,
3,H09,-,99570,
3,H10,-,86004,
3,H11,-,109909,
3,H12,-,109807,
3,H13,-,51814,
3,H14,-,60852,
3,H15,-,89805,
3,H16,-,53758,
3,H17,-,74086,
3,H18,-,136724,
3,H19,-,114904,
3,H20,-,95037,
3,H21,-,65845,
3,H22,-,75573,
3,H23,-,58140,
3,H24,-,119197,
3,I01,-,307244,
3,I02,-,190910,
3,I03,-,220393,
3,I04,-,190405,
3,I05,-,113488,
3,I06,-,172104,
3,I07,-,216253,
3,I08,-,139051,
3,I09,-,193195,
3,I10,-,188234,
3,I11,-,214511,
3,I12,-,113065,
3,I13,-,192858,
3,I14,-,156582,
3,I15,-,135536,
3,I16,-,245617,
3,I17,-,166551,
3,I18,-,167830,
3,I19,-,186907,
3,I20,-,158584,
3,I21,-,128181,
3,I22,-,157049,
3,I23,-,138492,
3,I24,-,214015,
3,J01,-,72203,
3,J02,-,80978,
3,J03,-,179340,
3,J04,-,168888,
3,J05,-,120244,
3,J06,-,110852,
3,J07,-,175268,
3,J08,-,76368,
3,J09,-,131121,
3,J10,-,125627,
3,J11,-,122155,
3,J12,-,144359,
3,J13,-,128488,
3,J14,-,159700,
3,J15,-,189649,
3,J16,-,121173,
3,J17,-,185027,
3,J18,-,144772,
3,J19,-,190250,
3,J20,-,140293,
3,J21,-,148935,
3,J22,-,86268,
3,J23,-,147287,
3,J24,-,78034,
3,K01,-,269690,
3,K02,-,138695,
3,K03,-,133927,
3,K04,-,165764,
3,K05,-,137362,
3,K06,-,132389,
3,K07,-,168608,
3,K08,-,160776,
3,K09,-,144749,
3,K10,-,163686,
3,K11,-,140451,
3,K12,-,135266,
3,K13,-,157939,
3,K14,-,151566,
3,K15,-,138885,
3,K16,-,121546,
3,K17,-,119286,
3,K18,-,161262,
3,K19,-,136996,
3,K20,-,111239,
3,K21,-,112657,
3,K22,-,132544,
3,K23,-,134517,
3,K24,-,272833,
3,L01,-,162631,
3,L02,-,41310,
3,L03,-,123442,
3,L04,-,101618,
3,L05,-,186768,
3,L06,-,103998,
3,L07,-,83287,
3,L08,-,121676,
3,L09,-,164120,
3,L10,-,96220,
3,L11,-,61853,
3,L12,-,81653,
3,L13,-,36945,
3,L14,-,94635,
3,L15,-,166895,
3,L16,-,52263,
3,L17,-,140225,
3,L18,-,129925,
3,L19,-,150785,
3,L20,-,135081,
3,L21,-,74994,
3,L22,-,115716,
3,L23,-,69423,
3,L24,-,204704,
3,M01,-,254419,
3,M02,-,123918,
3,M03,-,142101,
3,M04,-,165521,
3,M05,-,160577,
3,M06,-,151687,
3,M07,-,143693,
3,M08,-,120574,
3,M09,-,129411,
3,M10,-,124118,
3,M11,-,149999,
3,M12,-,142211,
3,M13,-,153418,
3,M14,-,213069,
3,M15,-,155716,
3,M16,-,114035,
3,M17,-,121637,
3,M18,-,114208,
3,M19,-,145875,
3,M20,-,110923,
3,M21,-,104133,
3,M22,-,117873,
3,M23,-,135284,
3,M24,-,215190,
3,N01,-,224064,
3,N02,-,113591,
3,N03,-,117417,
3,N04,-,125200,
3,N05,-,121866,
3,N06,-,88095,
3,N07,-,132406,
3,N08,-,164737,
3,N09,-,175045,
3,N10,-,102208,
3,N11,-,123372,
3,N12,-,111502,
3,N13,-,82710,
3,N14,-,132041,
3,N15,-,95445,
3,N16,-,150943,
3,N17,-,109574,
3,N18,-,38900,
3,N19,-,134360,
3,N20,-,124017,
3,N21,-,125269,
3,N22,-,114847,
3,N23,-,163291,
3,N24,-,250180,
3,O01,-,127690,
3,O02,-,135625,
3,O03,-,147351,
3,O04,-,176068,
3,O05,-,129189,
3,O06,-,132115,
3,O07,-,147045,
3,O08,-,145659,
3,O09,-,129151,
3,O10,-,168601,
3,O11,-,144012,
3,O12,-,150713,
3,O13,-,166639,
3,O14,-,179233,
3,O15,-,153633,
3,O16,-,130249,
3,O17,-,128761,
3,O18,-,164739,
3,O19,-,161666,
3,O20,-,120151,
3,O21,-,112951,
3,O22,-,119986,
3,O23,-,148653,
3,O24,-,280027,
3,P01,-,223259,
3,P02,-,168977,
3,P03,-,144772,
3,P04,-,151464,
3,P05,-,238017,
3,P06,-,170407,
3,P07,-,180076,
3,P08,-,197956,
3,P09,-,157973,
3,P10,-,143713,
3,P11,-,195079,
3,P12,-,262191,
3,P13,-,197906,
3,P14,-,115431,
3,P15,-,187911,
3,P16,-,134866,
3,P17,-,271314,
3,P18,-,195284,
3,P19,-,184872,
3,P20,-,179293,
3,P21,-,161299,
3,P22,-,168078,
3,P23,-,153595,
3,P24,-,280633,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
4,A01,-,362265,
4,A02,-,197105,
4,A03,-,260023,
4,A04,-,219353,
4,A05,-,222955,
4,A06,-,248353,
4,A07,-,230037,
4,A08,-,164040,
4,A09,-,168024,
4,A10,-,240018,
4,A11,-,243945,
4,A12,-,296238,
4,A13,-,236260,
4,A14,-,222233,
4,A15,-,212775,
4,A16,-,157738,
4,A17,-,207850,
4,A18,-,204311,
4,A19,-,264074,
4,A20,-,208950,
4,A21,-,219955,
4,A22,-,183939,
4,A23,-,206757,
4,A24,-,257721,
4,B01,-,171688,
4,B02,-,122684,
4,B03,-,169725,
4,B04,-,93285,
4,B05,-,97326,
4,B06,-,118261,
4,B07,-,48166,
4,B08,-,115580,
4,B09,-,88818,
4,B10,-,90279,
4,B11,-,61921,
4,B12,-,73835,
4,B13,-,99077,
4,B14,-,129490,
4,B15,-,76723,
4,B16,-,96828,
4,B17,-,97375,
4,B18,-,68035,
4,B19,-,74491,
4,B20,-,90473,
4,B21,-,112587,
4,B22,-,65402,
4,B23,-,135734,
4,B24,-,158833,
4,C01,-,249519,
4,C02,-,192457,
4,C03,-,201494,
4,C04,-,180696,
4,C05,-,181842,
4,C06,-,177925,
4,C07,-,188947,
4,C08,-,165887,
4,C09,-,135499,
4,C10,-,172269,
4,C11,-,139729,
4,C12,-,136916,
4,C13,-,123100,
4,C14,-,117846,
4,C15,-,107832,
4,C16,-,115236,
4,C17,-,154381,
4,C18,-,140689,
4,C19,-,117297,
4,C20,-,125890,
4,C21,-,117352,
4,C22,-,123087,
4,C23,-,150200,
4,C24,-,206051,
4,D01,-,196551,
4,D02,-,137770,
4,D03,-,130011,
4,D04,-,96539,
4,D05,-,66601,
4,D06,-,104002,
4,D07,-,91028,
4,D08,-,45918,
4,D09,-,80039,
4,D10,-,90428,
4,D11,-,99082,
