,,,,NORM 2 V MEAN,,,,,,,,
,V_ pl 1,V pl2,CBD _Pl1,NORM_V_ pl 1,NORM_V_ pl 2,AVG NORM_V,STD DEV,PLUS 1 STDEV,MINUS 1 STD DEV,NORM V _CBD _Pl1,,
D03,247667,284809,163698,0.949916579,1.09237319,1.021144884,0.100732036,1.12187692,0.920412849,0.627856937,,
D04,193184,171273,221205,0.740949276,0.656910538,0.698929907,0.059424362,0.758354269,0.639505545,0.848422668,,
D05,170176,168875,190660,0.65270304,0.647713108,0.650208074,0.003528415,0.653736488,0.646679659,0.731268578,,
D06,225333,128107,157400,0.864255442,0.491349123,0.677802282,0.263684587,0.941486869,0.414117695,0.603701218,,
D07,159095,149526,134021,0.61020232,0.573500815,0.591851568,0.025951883,0.617803451,0.565899684,0.514032026,,
D08,181185,102964,138488,0.694927606,0.394914182,0.544920894,0.212141527,0.75706242,0.332779367,0.531165021,,
D09,188559,194041,209040,0.723210279,0.744236264,0.733723272,0.014867617,0.748590888,0.718855655,0.801764311,,
D10,274407,192608,310714,1.052476748,0.738740052,0.8956084,0.221845345,1.117453745,0.673763055,1.191730751,,
D11,183926,219918,226902,0.705440598,0.843486432,0.774463515,0.097613145,0.87207666,0.67685037,0.870273276,,
D12,168936,170251,148187,0.647947071,0.652990699,0.650468885,0.003566384,0.654035269,0.646902501,0.568365136,,
D13,281686,215956,198437,1.080395052,0.828290344,0.954342698,0.178264949,1.132607647,0.77607775,0.761096941,,
D14,128136,53623,211008,0.491460351,0.205668808,0.34856458,0.202085138,0.550649717,0.146479442,0.809312494,,
D15,218153,184620,249591,0.836716847,0.708102407,0.772409627,0.090944143,0.86335377,0.681465484,0.957296002,,
D16,59454,84785,93967,0.228033368,0.325189376,0.276611372,0.068699672,0.345311044,0.207911701,0.360406559,,
D17,197742,84741,185052,0.758431297,0.325020616,0.541725956,0.306467632,0.848193589,0.235258324,0.709759325,,
D18,149173,191505,225589,0.572146898,0.734509541,0.653328219,0.114807726,0.768135945,0.538520494,0.865237319,,
D19,236608,179199,170889,0.90750024,0.687310385,0.797405312,0.15569774,0.953103052,0.641707572,0.655437722,,
D20,193397,153093,149789,0.741766229,0.587181897,0.664474063,0.10930763,0.773781692,0.555166433,0.574509541,,
D21,148803,175633,134379,0.570727778,0.673633138,0.622180458,0.072765078,0.694945536,0.54941538,0.51540512,,
D22,141583,138609,129947,0.543035766,0.531629111,0.537332438,0.008065723,0.545398161,0.529266716,0.498406367,,
D23,265268,263800,228226,1.017424489,1.011794036,1.014609263,0.003981332,1.018590595,1.010627931,0.875351424,,
D24,390874,314039,446620,1.49918113,1.204483651,1.35183239,0.208382585,1.560214976,1.143449805,1.712992617,,
E01,457625,472631,403255,1.755201841,1.812756736,1.783979289,0.040697457,1.824676745,1.743281832,1.546667945,,
E02,362339,303376,193212,1.389736312,1.163586154,1.276661233,0.15991231,1.436573544,1.116748923,0.741056669,,
E03,186572,255855,275278,0.715589222,0.981321316,0.848455269,0.187900965,1.036356234,0.660554304,1.055817432,,
E04,230357,257395,290235,0.883524787,0.987227922,0.935376354,0.07332919,1.008705545,0.862047164,1.11318439,,
E05,254321,209274,242282,0.975437722,0.802661808,0.889049765,0.12217102,1.011220785,0.766878745,0.929262633,,
E06,269815,309993,189443,1.034864321,1.188965385,1.111914853,0.108965908,1.22088076,1.002948945,0.726600825,,
E07,329346,283264,311255,1.263193019,1.086447406,1.174820213,0.124978022,1.299798235,1.049842191,1.193805734,,
E08,255838,203295,230991,0.981256113,0.7797296,0.880492856,0.142500764,1.02299362,0.737992093,0.885956468,,
E09,270835,170884,323353,1.038776489,0.655418544,0.847097517,0.271075002,1.118172519,0.576022515,1.240207115,,
E10,277228,234472,188959,1.063296577,0.8993077,0.981302138,0.115957647,1.097259785,0.865344491,0.724744463,,
E11,258228,233508,202956,0.990422859,0.895610317,0.943016588,0.067042591,1.01005918,0.875973997,0.77842938,,
E12,214194,302036,221337,0.821532266,1.158446639,0.989989452,0.238234438,1.228223891,0.751755014,0.848928948,,
E13,222058,196226,168389,0.851694314,0.752616742,0.802155528,0.070058423,0.872213951,0.732097105,0.645849075,,
E14,382310,312998,223817,1.46633426,1.200490939,1.333412599,0.187979615,1.521392215,1.145432984,0.858440886,,
E15,308862,235735,260116,1.184627481,0.904151884,1.044389683,0.198326197,1.242715879,0.846063486,0.997664206,,
E16,261294,351411,219401,1.002182376,1.347822418,1.175002397,0.244404418,1.419406815,0.930597979,0.8415035,,
E17,253115,227355,293964,0.970812158,0.872010739,0.921411449,0.069863153,0.991274602,0.851548295,1.127486816,,
E18,300655,231537,222092,1.153149871,0.888050628,1.020600249,0.187453472,1.208053721,0.833146777,0.85182472,,
E19,193475,236111,182683,0.742065395,0.905594017,0.823829706,0.115632198,0.939461903,0.708197508,0.700673123,,
E20,181486,242517,194658,0.696082079,0.930163966,0.813123022,0.16552089,0.978643912,0.647602133,0.746602742,,
E21,230727,209971,186699,0.884943906,0.805335123,0.845139515,0.05629191,0.901431425,0.788847604,0.716076326,,
E22,219513,243849,178786,0.841933071,0.935272797,0.888602934,0.066001153,0.954604087,0.822601781,0.68572634,,
E23,217415,321464,184442,0.833886279,1.232961933,1.033424106,0.282189101,1.315613207,0.751235004,0.707419695,,
E24,510009,397533,555152,1.956118516,1.52472145,1.740419983,0.305043791,2.045463773,1.435376192,2.129262633,,
F01,522602,438363,467117,2.004418449,1.681323233,1.842870841,0.228462818,2.071333659,1.614408023,1.791608016,,
F02,226122,424019,244046,0.867281619,1.626307412,1.246794515,0.536712286,1.783506801,0.71008223,0.936028382,,
F03,281815,313776,216794,1.080889826,1.203474926,1.142182376,0.086680755,1.228863131,1.055501621,0.831504459,,
F04,242293,233936,178564,0.929304823,0.897251894,0.913278358,0.022664844,0.935943202,0.890613515,0.684874868,,
F05,284340,223828,217451,1.09057436,0.858483076,0.974528718,0.164113321,1.138642039,0.810415397,0.834024355,,
F06,266908,167973,232233,1.023714642,0.644253524,0.833984083,0.26831953,1.102303613,0.565664553,0.890720107,,
F07,229052,192782,243033,0.878519513,0.739407422,0.808963467,0.098367103,0.90733057,0.710596364,0.932143063,,
F08,235358,163303,259641,0.902705916,0.626341931,0.764523924,0.195418848,0.959942772,0.569105076,0.995842363,,
F09,86977,106751,141132,0.333596702,0.409439064,0.371517883,0.053628649,0.425146532,0.317889234,0.541305974,,
F10,159159,158217,282951,0.61044779,0.606834788,0.608641289,0.002554778,0.611196067,0.60608651,1.085246908,,
F11,286774,301614,223213,1.099909867,1.156828076,1.128368971,0.040247251,1.168616223,1.08812172,0.856124269,,
F12,152530,237773,150917,0.585022533,0.911968549,0.748495541,0.231185745,0.979681286,0.517309796,0.578835938,,
F13,236076,237147,226274,0.905459776,0.909567552,0.907513664,0.002904637,0.9104183,0.904609027,0.867864608,,
F14,134652,40160,224007,0.516452201,0.154032026,0.335242113,0.256269763,0.591511876,0.07897235,0.859169623,,
F15,189342,205686,262600,0.726213443,0.788900182,0.757556813,0.044326218,0.801883031,0.713230595,1.007191485,,
F16,151643,175632,235356,0.581620481,0.673629303,0.627624892,0.065060062,0.692684954,0.56256483,0.902698245,,
F17,228897,193196,257315,0.877925017,0.740995302,0.809460159,0.09682393,0.906284089,0.712636229,0.986921085,,
F18,210370,189608,331243,0.806865471,0.727233675,0.767049573,0.056308183,0.823357756,0.71074139,1.270468885,,
F19,288131,203231,169895,1.105114584,0.779484131,0.942299358,0.230255502,1.172554859,0.712043856,0.651625276,,
F20,234210,166969,155008,0.898302809,0.640402723,0.769352766,0.1823629,0.951715666,0.586989866,0.5945268,,
F21,242581,186380,170703,0.930409435,0.714852814,0.822631125,0.152421548,0.975052673,0.670209576,0.654724326,,
F22,297130,197872,171537,1.139629878,0.758929907,0.949279893,0.269195531,1.218475424,0.680084361,0.657923099,,
F23,334769,268770,242524,1.283992713,1.030856266,1.157424489,0.178994498,1.336418987,0.978429992,0.930190814,,
F24,667647,374588,644717,2.560732573,1.436716847,1.99872471,0.794799142,2.793523852,1.203925568,2.472785502,,
G01,505595,386362,363076,1.9391888,1.481875539,1.71053217,0.323369308,2.033901478,1.387162862,1.392563045,,
G02,199301,238432,151710,0.764410778,0.914496117,0.839453447,0.106126361,0.945579808,0.733327086,0.581877457,,
G03,218179,278790,322736,0.836816569,1.069287564,0.953052066,0.164381817,1.117433883,0.78867025,1.237840637,,
G04,224999,211812,253857,0.862974398,0.812396203,0.837685301,0.035764185,0.873449486,0.801921116,0.973658069,,
G05,191771,194653,211100,0.735529773,0.746583565,0.741056669,0.007816212,0.74887288,0.733240457,0.809665356,,
G06,200608,205312,145695,0.769423722,0.787465721,0.778444721,0.012757619,0.791202341,0.765687102,0.558807172,,
G07,217279,253343,265126,0.833364656,0.971686643,0.90252565,0.097808415,1.000334064,0.804717235,1.016879854,,
G08,224231,177745,208128,0.860028766,0.681733627,0.770881197,0.126073702,0.896954898,0.644807495,0.798266373,,
G09,250406,148509,295736,0.9604219,0.569600153,0.765011027,0.276352708,1.041363735,0.488658319,1.134283249,,
G10,267550,169257,147273,1.026177006,0.649178253,0.83767763,0.266578375,1.104256005,0.571099255,0.564859526,,
G11,254764,201234,185185,0.97713683,0.77182472,0.874480775,0.145177586,1.01965836,0.729303189,0.710269441,,
G12,194039,271363,168292,0.744228593,1.040801611,0.892515102,0.209708792,1.102223894,0.68280631,0.645477035,,
G13,301213,236121,140664,1.155290057,0.905632371,1.030461214,0.176534642,1.206995856,0.853926572,0.539510979,,
G14,227428,253792,149026,0.872290728,0.973408764,0.922849746,0.071501249,0.994350995,0.851348497,0.571583086,,
G15,301252,231691,205131,1.155439639,0.888641289,1.022040464,0.188654923,1.210695387,0.833385541,0.786771503,,
G16,202843,301482,199240,0.777995973,1.156321795,0.967158884,0.267516754,1.234675638,0.699642129,0.764176815,,
G17,191005,200022,236223,0.732591811,0.767176143,0.749883977,0.024454816,0.774338793,0.725429162,0.906023588,,
G18,183417,207780,193670,0.70348835,0.796931633,0.750209991,0.066074379,0.816284371,0.684135612,0.742813309,,
G19,211091,185976,149575,0.809630837,0.713303289,0.761467063,0.068113863,0.829580926,0.6933532,0.573688753,,
G20,159340,169231,189829,0.611142008,0.649078531,0.630110269,0.026825173,0.656935442,0.603285097,0.728081312,,
G21,172425,184000,147654,0.661328986,0.705724422,0.683526704,0.031392314,0.714919018,0.652134391,0.566320836,,
G22,165286,234750,137814,0.633947646,0.900373957,0.767160802,0.188391851,0.955552653,0.57876895,0.528579921,,
