,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
2,J04,-,194628,
2,J05,-,123876,
2,J06,-,142762,
2,J07,-,149212,
2,J08,-,89013,
2,J09,-,116615,
2,J10,-,166140,
2,J11,-,216242,
2,J12,-,185192,
2,J13,-,159562,
2,J14,-,182436,
2,J15,-,173107,
2,J16,-,180812,
2,J17,-,158145,
2,J18,-,232259,
2,J19,-,301562,
2,J20,-,174404,
2,J21,-,85341,
2,J22,-,139298,
2,J23,-,378907,
2,J24,-,120679,
2,K01,-,264296,
2,K02,-,288484,
2,K03,-,191598,
2,K04,-,189997,
2,K05,-,195823,
2,K06,-,205807,
2,K07,-,197175,
2,K08,-,141186,
2,K09,-,131844,
2,K10,-,173233,
2,K11,-,163708,
2,K12,-,211022,
2,K13,-,190264,
2,K14,-,253449,
2,K15,-,196239,
2,K16,-,144949,
2,K17,-,239109,
2,K18,-,182209,
2,K19,-,190365,
2,K20,-,202580,
2,K21,-,166874,
2,K22,-,178611,
2,K23,-,272343,
2,K24,-,373749,
2,L01,-,216289,
2,L02,-,57373,
2,L03,-,209407,
2,L04,-,172345,
2,L05,-,155126,
2,L06,-,112724,
2,L07,-,39775,
2,L08,-,120281,
2,L09,-,203309,
2,L10,-,141635,
2,L11,-,118257,
2,L12,-,147545,
2,L13,-,37083,
2,L14,-,70613,
2,L15,-,171454,
2,L16,-,70893,
2,L17,-,151230,
2,L18,-,137289,
2,L19,-,197960,
2,L20,-,177343,
2,L21,-,100949,
2,L22,-,160542,
2,L23,-,99254,
2,L24,-,184515,
2,M01,-,267192,
2,M02,-,301843,
2,M03,-,211760,
2,M04,-,227894,
2,M05,-,172576,
2,M06,-,252672,
2,M07,-,221320,
2,M08,-,170654,
2,M09,-,131305,
2,M10,-,200200,
2,M11,-,220114,
2,M12,-,154642,
2,M13,-,283219,
2,M14,-,158762,
2,M15,-,157612,
2,M16,-,176414,
2,M17,-,220720,
2,M18,-,190008,
2,M19,-,218308,
2,M20,-,195205,
