,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
1,E09,167494,
1,E10,94282,
1,E11,163629,
1,E12,195990,
1,E13,247227,
1,E14,245368,
1,E15,211697,
1,E16,229297,
1,E17,206481,
1,E18,196798,
1,E19,180436,
1,E20,210300,
1,E21,201030,
1,E22,238518,
1,E23,364211,
1,E24,460256,
1,F01,600523,
1,F02,270414,
1,F03,270516,
1,F04,281885,
1,F05,264237,
1,F06,198563,
1,F07,182170,
1,F08,201412,
1,F09,116147,
1,F10,179577,
1,F11,235686,
1,F12,192816,
1,F13,221149,
1,F14,193429,
1,F15,220721,
1,F16,178953,
1,F17,218864,
1,F18,211055,
1,F19,158032,
1,F20,167464,
1,F21,215317,
1,F22,282415,
1,F23,259023,
1,F24,651082,
1,G01,482550,
1,G02,223192,
1,G03,156256,
1,G04,122822,
1,G05,194210,
1,G06,228179,
1,G07,178417,
1,G08,201058,
1,G09,185824,
1,G10,86549,
1,G11,85285,
1,G12,186483,
1,G13,200426,
1,G14,220980,
1,G15,168107,
1,G16,224618,
1,G17,212377,
1,G18,250516,
1,G19,195324,
1,G20,243574,
1,G21,276047,
1,G22,329005,
1,G23,293457,
1,G24,542620,
1,H01,369425,
1,H02,134749,
1,H03,174122,
1,H04,177979,
1,H05,229098,
1,H06,149344,
1,H07,179030,
1,H08,166082,
1,H09,198520,
1,H10,178826,
1,H11,233585,
1,H12,166618,
1,H13,175319,
1,H14,184104,
1,H15,179083,
1,H16,162991,
1,H17,216610,
1,H18,182301,
1,H19,210650,
1,H20,228768,
1,H21,255157,
1,H22,175875,
1,H23,262954,
1,H24,403982,
1,I01,389028,
1,I02,347830,
1,I03,175540,
1,I04,124104,
1,I05,231333,
1,I06,209591,
1,I07,207015,
1,I08,206811,
1,I09,146093,
1,I10,88563,
1,I11,95701,
1,I12,242543,
1,I13,250008,
1,I14,234830,
1,I15,207396,
1,I16,202888,
1,I17,187484,
1,I18,238887,
1,I19,204225,
1,I20,239940,
1,I21,266911,
1,I22,305379,
1,I23,343738,
1,I24,676411,
1,J01,87033,
1,J02,226693,
1,J03,200138,
1,J04,201147,
1,J05,159979,
1,J06,170260,
1,J07,188512,
1,J08,92910,
1,J09,132682,
1,J10,182642,
1,J11,188469,
1,J12,191672,
1,J13,193215,
1,J14,165943,
1,J15,221740,
1,J16,176095,
1,J17,257994,
1,J18,180839,
1,J19,197679,
1,J20,206893,
1,J21,109550,
1,J22,245989,
1,J23,345164,
1,J24,282185,
1,K01,575138,
1,K02,303384,
1,K03,128333,
1,K04,141162,
1,K05,207077,
1,K06,245763,
1,K07,228583,
1,K08,200038,
1,K09,183432,
1,K10,86227,
1,K11,110968,
1,K12,181882,
1,K13,201068,
1,K14,214134,
1,K15,195587,
1,K16,218972,
1,K17,189165,
1,K18,232340,
1,K19,179229,
1,K20,213425,
1,K21,278548,
1,K22,389143,
1,K23,252196,
1,K24,516867,
1,L01,285323,
1,L02,165790,
1,L03,203498,
1,L04,212532,
1,L05,201591,
1,L06,189834,
1,L07,202546,
1,L08,178026,
1,L09,226310,
1,L10,194813,
1,L11,122198,
1,L12,213981,
1,L13,37412,
1,L14,142709,
1,L15,237648,
1,L16,138301,
1,L17,225680,
1,L18,189097,
1,L19,215317,
1,L20,185070,
1,L21,154153,
1,L22,374896,
1,L23,182428,
1,L24,626957,
1,M01,287575,
1,M02,337384,
1,M03,177434,
1,M04,132487,
1,M05,265935,
1,M06,243291,
1,M07,193978,
1,M08,343943,
1,M09,208761,
1,M10,94755,
1,M11,114356,
1,M12,240957,
1,M13,204759,
1,M14,314492,
1,M15,262829,
1,M16,229830,
1,M17,175336,
1,M18,280155,
1,M19,236705,
1,M20,336865,
1,M21,329349,
1,M22,272842,
1,M23,298775,
1,M24,395126,
1,N01,431505,
1,N02,361799,
1,N03,205494,
1,N04,227637,
1,N05,203357,
1,N06,174009,
1,N07,252353,
1,N08,203199,
1,N09,199113,
1,N10,225265,
1,N11,387254,
1,N12,217395,
1,N13,202043,
1,N14,171083,
1,N15,192907,
1,N16,228185,
1,N17,205052,
1,N18,53243,
1,N19,206831,
1,N20,278979,
1,N21,154669,
1,N22,180112,
1,N23,264340,
1,N24,461795,
1,O01,312491,
1,O02,350095,
1,O03,299070,
1,O04,382191,
1,O05,374122,
1,O06,332596,
1,O07,370201,
1,O08,333561,
1,O09,299223,
1,O10,301006,
1,O11,292256,
1,O12,335497,
1,O13,351685,
1,O14,345992,
1,O15,650085,
1,O16,648781,
1,O17,645299,
1,O18,356052,
1,O19,309881,
1,O20,418680,
1,O21,676898,
1,O22,685836,
1,O23,395895,
1,O24,407464,
1,P01,660250,
1,P02,422014,
1,P03,367892,
1,P04,384879,
1,P05,454375,
1,P06,448649,
1,P07,433480,
1,P08,327573,
1,P09,390717,
1,P10,679036,
1,P11,681121,
1,P12,669827,
1,P13,321294,
1,P14,325216,
1,P15,601968,
1,P16,687439,
1,P17,686358,
1,P18,682693,
1,P19,685689,
1,P20,684203,
1,P21,362707,
1,P22,358453,
1,P23,406420,
1,P24,685836,

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
2,A01,375751,
2,A02,676421,
2,A03,600022,
2,A04,353919,
2,A05,660529,
2,A06,531885,
2,A07,659146,
2,A08,653599,
2,A09,643347,
2,A10,666182,
2,A11,692643,
2,A12,616910,
2,A13,691605,
2,A14,679046,
2,A15,565697,
2,A16,650877,
2,A17,618297,
2,A18,581106,
2,A19,664212,
2,A20,679247,
2,A21,640558,
2,A22,656376,
2,A23,650025,
2,A24,683234,
2,B01,671575,
2,B02,515371,
2,B03,514437,
2,B04,615135,
2,B05,627205,
2,B06,455529,
2,B07,268040,
2,B08,523119,
2,B09,431824,
2,B10,522702,
2,B11,111778,
2,B12,473530,
2,B13,566035,
2,B14,582769,
2,B15,655101,
2,B16,262136,
2,B17,592004,
2,B18,588039,
2,B19,434270,
2,B20,624802,
2,B21,532753,
2,B22,390383,
2,B23,540991,
2,B24,492251,
2,C01,631790,
2,C02,441296,
2,C03,209738,
2,C04,139637,
2,C05,498293,
2,C06,535127,
2,C07,239841,
2,C08,462596,
2,C09,583852,
2,C10,114851,
2,C11,98989,
2,C12,260329,
2,C13,275871,
2,C14,502736,
2,C15,486035,
2,C16,302950,
2,C17,216275,
2,C18,315425,
2,C19,246105,
2,C20,253929,
2,C21,466555,
2,C22,225863,
2,C23,553643,
2,C24,585525,
2,D01,617493,
2,D02,377705,
2,D03,264090,
2,D04,208655,
2,D05,198576,
2,D06,284772,
2,D07,220065,
2,D08,206421,
2,D09,456192,
2,D10,282074,
2,D11,224453,
2,D12,550629,
2,D13,215956,
2,D14,365366,
2,D15,340630,
2,D16,153491,
2,D17,250801,
2,D18,270262,
2,D19,231158,
2,D20,233504,
2,D21,314421,
2,D22,337471,
2,D23,338783,
2,D24,653025,
2,E01,644711,
2,E02,465725,
2,E03,159442,
2,E04,112122,
2,E05,416750,
2,E06,519417,
2,E07,344094,
2,E08,312251,
2,E09,234089,
2,E10,77374,
2,E11,85076,
2,E12,299293,
2,E13,175034,
2,E14,265068,
2,E15,372592,
2,E16,257328,
2,E17,625102,
2,E18,254756,
2,E19,289930,
2,E20,232040,
2,E21,253244,
2,E22,367288,
2,E23,332738,
2,E24,469113,
2,F01,275718,
2,F02,493784,
2,F03,267058,
2,F04,344513,
2,F05,263375,
2,F06,260504,
2,F07,300486,
2,F08,304578,
2,F09,153228,
2,F10,196774,
2,F11,435087,
2,F12,392531,
2,F13,172776,
2,F14,171152,
2,F15,216963,
2,F16,179660,
2,F17,425356,
2,F18,302314,
2,F19,349942,
2,F20,189495,
2,F21,310635,
2,F22,411250,
2,F23,538259,
2,F24,633959,
2,G01,354789,
2,G02,629854,
2,G03,202571,
2,G04,170282,
2,G05,302089,
2,G06,216263,
2,G07,234557,
2,G08,288782,
2,G09,224803,
2,G10,82223,
2,G11,86509,
2,G12,204464,
2,G13,218996,
2,G14,231951,
2,G15,264583,
2,G16,487732,
2,G17,310156,
2,G18,225558,
2,G19,263344,
2,G20,270077,
2,G21,269884,
2,G22,372306,
2,G23,255969,
2,G24,677874,
2,H01,352942,
2,H02,160008,
2,H03,507325,
2,H04,184091,
2,H05,220275,
2,H06,209682,
2,H07,171801,
2,H08,252588,
2,H09,221978,
2,H10,277252,
2,H11,218298,
2,H12,193126,
2,H13,216395,
2,H14,128233,
2,H15,237275,
2,H16,169572,
2,H17,233802,
2,H18,273525,
2,H19,236112,
2,H20,221803,
2,H21,245740,
2,H22,273813,
2,H23,156499,
2,H24,305701,
2,I01,650222,
2,I02,482546,
2,I03,107036,
2,I04,109691,
2,I05,185674,
2,I06,226969,
2,I07,193476,
2,I08,249340,
2,I09,194618,
2,I10,100547,
2,I11,105398,
2,I12,189857,
2,I13,187185,
2,I14,228661,
2,I15,239811,
2,I16,197173,
2,I17,211004,
2,I18,223393,
2,I19,241398,
2,I20,365835,
2,I21,229782,
2,I22,307858,
2,I23,243006,
2,I24,685845,
2,J01,365908,
2,J02,423179,
2,J03,526188,
2,J04,210328,
2,J05,184839,
2,J06,201003,
2,J07,285158,
2,J08,143422,
2,J09,204721,
2,J10,205812,
2,J11,252623,
2,J12,226090,
2,J13,249351,
2,J14,213968,
2,J15,240379,
2,J16,237101,
2,J17,285125,
2,J18,241085,
2,J19,225605,
2,J20,192694,
2,J21,156233,
2,J22,184652,
2,J23,268826,
2,J24,438180,
2,K01,626130,
2,K02,509765,
2,K03,91870,
2,K04,226981,
2,K05,400920,
2,K06,342325,
2,K07,361016,
2,K08,341372,
2,K09,209487,
2,K10,126608,
2,K11,104952,
2,K12,242392,
2,K13,235765,
2,K14,278870,
2,K15,214141,
2,K16,406945,
2,K17,307547,
2,K18,257566,
2,K19,293817,
2,K20,242284,
2,K21,583905,
2,K22,336240,
2,K23,377639,
2,K24,624189,
2,L01,318801,
2,L02,74219,
2,L03,342257,
2,L04,281452,
2,L05,275352,
2,L06,317419,
2,L07,323630,
2,L08,228763,
2,L09,233386,
2,L10,234589,
2,L11,172135,
2,L12,270277,
2,L13,37277,
2,L14,127991,
2,L15,302420,
2,L16,179217,
2,L17,351846,
2,L18,257514,
2,L19,284863,
2,L20,272634,
2,L21,224900,
2,L22,477291,
2,L23,311263,
2,L24,550872,
2,M01,635086,
2,M02,546483,
2,M03,92721,
2,M04,112914,
2,M05,281847,
2,M06,312161,
2,M07,297199,
2,M08,511147,
2,M09,388696,
2,M10,142483,
2,M11,130691,
2,M12,410927,
2,M13,394726,
2,M14,573730,
2,M15,337488,
2,M16,485627,
2,M17,364807,
2,M18,361517,
2,M19,318785,
2,M20,278089,
2,M21,484629,
2,M22,329662,
2,M23,493031,
2,M24,679945,
2,N01,607042,
2,N02,361193,
2,N03,262390,
2,N04,296683,
2,N05,171623,
2,N06,286166,
2,N07,331219,
2,N08,356586,
2,N09,293876,
2,N10,267430,
2,N11,448792,
2,N12,382486,
2,N13,242832,
2,N14,409619,
2,N15,502569,
2,N16,419066,
2,N17,282914,
2,N18,61626,
2,N19,307025,
2,N20,199800,
2,N21,219468,
2,N22,176688,
2,N23,545671,
2,N24,685841,
2,O01,404013,
2,O02,637460,
2,O03,704702,
2,O04,578745,
2,O05,560166,
2,O06,624967,
2,O07,593382,
2,O08,574552,
2,O09,570212,
2,O10,521056,
2,O11,595926,
2,O12,561089,
2,O13,656653,
2,O14,644677,
2,O15,584708,
2,O16,614612,
2,O17,646210,
2,O18,606631,
2,O19,620501,
2,O20,397512,
2,O21,614606,
2,O22,614494,
2,O23,672423,
2,O24,680613,
2,P01,623965,
2,P02,686371,
2,P03,602738,
2,P04,660764,
2,P05,621254,
2,P06,588802,
2,P07,675045,
2,P08,591470,
2,P09,638416,
2,P10,661806,
2,P11,681916,
2,P12,669114,
2,P13,648988,
2,P14,565484,
2,P15,680581,
2,P16,687562,
2,P17,653424,
2,P18,677939,
2,P19,629918,
2,P20,462606,
2,P21,486163,
2,P22,615043,
2,P23,687940,
2,P24,683219,

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
3,A01,678231,
3,A02,538195,
3,A03,547597,
3,A04,648517,
3,A05,640623,
3,A06,665876,
3,A07,650975,
3,A08,602714,
3,A09,654316,
3,A10,657653,
3,A11,659088,
3,A12,671803,
3,A13,659210,
3,A14,681632,
3,A15,682160,
3,A16,688444,
3,A17,681637,
3,A18,689487,
3,A19,681629,
3,A20,681112,
3,A21,679535,
3,A22,683726,
3,A23,687390,
3,A24,682162,
3,B01,676957,
3,B02,552037,
3,B03,386317,
3,B04,673256,
3,B05,680582,
3,B06,616327,
3,B07,251361,
3,B08,537609,
3,B09,331715,
3,B10,667645,
3,B11,224426,
3,B12,458349,
3,B13,652983,
3,B14,679540,
3,B15,358359,
3,B16,317043,
3,B17,225617,
3,B18,200537,
3,B19,308667,
3,B20,388925,
3,B21,347523,
3,B22,672427,
3,B23,688441,
3,B24,684775,
3,C01,595866,
3,C02,595539,
3,C03,65612,
3,C04,97096,
3,C05,266809,
3,C06,322095,
3,C07,301765,
3,C08,246546,
3,C09,434790,
3,C10,124253,
3,C11,196283,
3,C12,234241,
3,C13,598168,
3,C14,563475,
3,C15,324748,
3,C16,244375,
3,C17,352501,
3,C18,295689,
3,C19,225249,
3,C20,269052,
3,C21,397102,
3,C22,385389,
3,C23,665301,
3,C24,693161,
3,D01,610099,
3,D02,385066,
3,D03,384354,
3,D04,304159,
3,D05,316302,
3,D06,238640,
3,D07,269664,
3,D08,217733,
3,D09,249788,
3,D10,382579,
3,D11,358338,
3,D12,268562,
3,D13,490683,
3,D14,276484,
3,D15,269819,
3,D16,146474,
3,D17,269229,
3,D18,226522,
3,D19,255682,
3,D20,199912,
3,D21,230751,
3,D22,340741,
3,D23,683730,
3,D24,683724,
3,E01,553988,
3,E02,591479,
3,E03,93035,
3,E04,99472,
3,E05,552223,
3,E06,259578,
3,E07,390238,
3,E08,526960,
3,E09,376640,
3,E10,130404,
3,E11,177311,
3,E12,232537,
3,E13,340730,
3,E14,420227,
3,E15,464782,
3,E16,298857,
3,E17,301918,
3,E18,573034,
3,E19,257245,
3,E20,315324,
3,E21,258160,
3,E22,487117,
3,E23,402195,
3,E24,679528,
3,F01,667829,
3,F02,278834,
3,F03,305663,
3,F04,316271,
3,F05,438403,
3,F06,230750,
3,F07,301041,
3,F08,189594,
3,F09,177542,
3,F10,201628,
3,F11,311288,
3,F12,272487,
3,F13,393606,
3,F14,195899,
3,F15,292359,
3,F16,270037,
3,F17,267962,
3,F18,255708,
3,F19,276366,
3,F20,256708,
3,F21,275976,
3,F22,600341,
3,F23,662858,
3,F24,442315,
3,G01,667601,
3,G02,316341,
3,G03,71145,
3,G04,105932,
3,G05,226387,
3,G06,196388,
3,G07,211298,
3,G08,252823,
3,G09,286276,
3,G10,96786,
3,G11,75752,
3,G12,224089,
3,G13,210593,
3,G14,308072,
3,G15,216563,
3,G16,222284,
3,G17,208751,
3,G18,274305,
3,G19,264855,
3,G20,264006,
3,G21,265349,
3,G22,375394,
3,G23,351109,
3,G24,692643,
3,H01,663031,
3,H02,98016,
3,H03,307434,
3,H04,212905,
3,H05,291942,
3,H06,158944,
3,H07,169527,
3,H08,180055,
3,H09,348557,
3,H10,209238,
3,H11,304364,
3,H12,243322,
3,H13,257406,
3,H14,143150,
3,H15,184571,
3,H16,143144,
3,H17,195080,
3,H18,203252,
3,H19,238053,
3,H20,224264,
3,H21,235052,
3,H22,228783,
3,H23,258112,
3,H24,425363,
3,I01,682383,
3,I02,293000,
3,I03,66809,
3,I04,116340,
3,I05,217417,
3,I06,235184,
3,I07,203870,
3,I08,229462,
3,I09,176660,
3,I10,117950,
3,I11,104045,
3,I12,244809,
3,I13,316660,
3,I14,263119,
3,I15,233087,
3,I16,209512,
3,I17,199557,
3,I18,241546,
3,I19,212614,
3,I20,273449,
3,I21,225748,
3,I22,393116,
3,I23,245244,
3,I24,646885,
3,J01,327902,
3,J02,278897,
3,J03,270904,
3,J04,207239,
3,J05,204946,
3,J06,236372,
3,J07,241241,
3,J08,122594,
3,J09,122293,
3,J10,162113,
3,J11,214787,
3,J12,215401,
3,J13,219656,
3,J14,228072,
3,J15,224114,
3,J16,222935,
3,J17,367021,
3,J18,180533,
3,J19,207555,
3,J20,220896,
3,J21,140775,
3,J22,197741,
3,J23,297331,
3,J24,360205,
3,K01,467577,
3,K02,486043,
3,K03,57061,
3,K04,110076,
3,K05,258443,
3,K06,183340,
3,K07,224731,
3,K08,263878,
3,K09,257466,
3,K10,101402,
3,K11,102063,
3,K12,306110,
3,K13,305741,
3,K14,273852,
3,K15,245437,
3,K16,325981,
3,K17,266178,
3,K18,243586,
3,K19,230197,
3,K20,483472,
3,K21,334742,
3,K22,471229,
3,K23,604303,
3,K24,620779,
3,L01,499964,
3,L02,127628,
3,L03,288842,
3,L04,253236,
3,L05,236596,
3,L06,220486,
3,L07,235203,
3,L08,238714,
3,L09,219668,
3,L10,201464,
3,L11,126630,
3,L12,227538,
3,L13,38232,
3,L14,110404,
3,L15,266307,
3,L16,140132,
3,L17,323085,
3,L18,601562,
3,L19,373356,
3,L20,215047,
3,L21,250018,
3,L22,307945,
3,L23,206624,
3,L24,695770,
3,M01,598942,
3,M02,370740,
3,M03,67525,
3,M04,104998,
3,M05,413059,
3,M06,241620,
3,M07,250947,
3,M08,193544,
3,M09,204152,
3,M10,107265,
3,M11,147972,
3,M12,262102,
3,M13,321176,
3,M14,294141,
3,M15,311243,
3,M16,294483,
3,M17,302063,
3,M18,271852,
3,M19,310936,
3,M20,246534,
3,M21,268656,
3,M22,223579,
3,M23,549152,
3,M24,679009,
3,N01,682156,
3,N02,332317,
3,N03,366215,
3,N04,234201,
3,N05,296265,
3,N06,251363,
3,N07,230339,
3,N08,210912,
3,N09,167600,
3,N10,273115,
3,N11,272711,
3,N12,216229,
3,N13,211684,
3,N14,416702,
3,N15,318543,
3,N16,193484,
3,N17,191233,
3,N18,55458,
3,N19,269829,
3,N20,265645,
3,N21,290502,
3,N22,258196,
3,N23,670763,
3,N24,680581,
3,O01,598134,
3,O02,517478,
3,O03,247015,
3,O04,390115,
3,O05,593824,
3,O06,339375,
3,O07,258175,
3,O08,546721,
3,O09,627635,
3,O10,615740,
3,O11,374776,
3,O12,624614,
3,O13,597046,
3,O14,578933,
3,O15,628148,
3,O16,638497,
3,O17,571855,
3,O18,641342,
3,O19,396591,
3,O20,452626,
3,O21,327793,
3,O22,352986,
3,O23,396261,
3,O24,683204,
3,P01,636769,
3,P02,482155,
3,P03,618551,
3,P04,630661,
3,P05,552964,
3,P06,622003,
3,P07,656895,
3,P08,534400,
3,P09,618840,
3,P10,642325,
3,P11,665873,
3,P12,666809,
3,P13,654950,
3,P14,596625,
3,P15,663753,
3,P16,642958,
3,P17,670768,
3,P18,684248,
3,P19,669244,
3,P20,629816,
3,P21,604152,
3,P22,692327,
3,P23,697337,
3,P24,686863,

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
4,A01,603773,
4,A02,570875,
4,A03,521661,
4,A04,569990,
4,A05,587220,
4,A06,596220,
4,A07,605864,
4,A08,606668,
4,A09,299753,
4,A10,566858,
4,A11,589272,
4,A12,598880,
4,A13,552666,
4,A14,629376,
4,A15,618816,
4,A16,573435,
4,A17,610028,
4,A18,599856,
4,A19,588177,
4,A20,595226,
4,A21,611751,
4,A22,582967,
4,A23,636225,
4,A24,606274,
4,B01,460299,
4,B02,524607,
4,B03,473585,
4,B04,200630,
4,B05,453558,
4,B06,360310,
4,B07,147202,
4,B08,422367,
4,B09,273960,
4,B10,276573,
4,B11,220413,
4,B12,341938,
4,B13,473045,
4,B14,238777,
4,B15,371399,
4,B16,414377,
4,B17,449703,
4,B18,429876,
4,B19,452606,
4,B20,493046,
4,B21,260069,
4,B22,362392,
4,B23,567590,
4,B24,658823,
4,C01,529586,
4,C02,447931,
4,C03,113171,
4,C04,128514,
4,C05,231185,
4,C06,243889,
4,C07,449496,
4,C08,186076,
4,C09,414305,
4,C10,176745,
4,C11,105553,
4,C12,376744,
4,C13,271325,
4,C14,420947,
4,C15,337700,
4,C16,393142,
4,C17,418493,
4,C18,441579,
4,C19,235557,
4,C20,415472,
4,C21,309403,
4,C22,376450,
4,C23,467135,
4,C24,591473,
4,D01,460240,
4,D02,204372,
4,D03,285483,
4,D04,266085,
4,D05,257960,
4,D06,209679,
4,D07,177277,
4,D08,148034,
4,D09,213563,
4,D10,215286,
4,D11,172066,
4,D12,122991,
4,D13,239110,
4,D14,169825,
4,D15,223789,
4,D16,110415,
4,D17,410889,
4,D18,259106,
4,D19,204846,
4,D20,156254,
4,D21,135723,
4,D22,186335,
4,D23,457162,
4,D24,579271,
4,E01,571465,
4,E02,304716,
4,E03,120761,
4,E04,110136,
4,E05,178276,
4,E06,186452,
4,E07,162870,
4,E08,191015,
4,E09,176999,
4,E10,99216,
4,E11,152757,
4,E12,420702,
4,E13,354183,
4,E14,205662,
4,E15,195290,
4,E16,195733,
4,E17,180547,
4,E18,278543,
4,E19,209049,
4,E20,282045,
4,E21,246402,
4,E22,386719,
4,E23,227194,
4,E24,574220,
4,F01,485893,
4,F02,321929,
4,F03,280230,
4,F04,208783,
4,F05,233740,
4,F06,236982,
4,F07,187266,
4,F08,217223,
4,F09,108511,
4,F10,248394,
4,F11,293791,
4,F12,185932,
4,F13,189918,
4,F14,110158,
4,F15,266171,
4,F16,168018,
4,F17,267618,
4,F18,184790,
4,F19,265424,
4,F20,237911,
4,F21,286531,
4,F22,306514,
4,F23,448942,
4,F24,601661,
4,G01,502058,
4,G02,278046,
4,G03,118044,
4,G04,131840,
4,G05,301865,
4,G06,198887,
4,G07,166687,
4,G08,265703,
4,G09,207846,
4,G10,107797,
4,G11,74556,
4,G12,189813,
4,G13,215731,
4,G14,206019,
4,G15,199087,
4,G16,237353,
4,G17,226034,
4,G18,218104,
4,G19,186331,
4,G20,192682,
4,G21,242152,
4,G22,218339,
4,G23,437489,
4,G24,573672,
4,H01,275173,
4,H02,108538,
4,H03,181134,
4,H04,171346,
4,H05,216117,
4,H06,165255,
4,H07,163080,
4,H08,218701,
4,H09,181115,
4,H10,220920,
4,H11,218698,
4,H12,183510,
4,H13,194992,
4,H14,125008,
4,H15,212503,
4,H16,168416,
4,H17,235876,
4,H18,212271,
4,H19,199027,
4,H20,324286,
4,H21,187087,
4,H22,241113,
4,H23,248843,
4,H24,484298,
4,I01,538623,
4,I02,260104,
4,I03,127037,
4,I04,166841,
4,I05,143115,
4,I06,193601,
4,I07,170583,
4,I08,182718,
4,I09,164631,
4,I10,131233,
4,I11,111811,
4,I12,186409,
4,I13,210047,
4,I14,205819,
4,I15,198971,
4,I16,213415,
4,I17,220813,
4,I18,197141,
4,I19,196783,
4,I20,222979,
4,I21,228159,
4,I22,218862,
4,I23,247044,
4,I24,590500,
4,J01,226251,
4,J02,236303,
4,J03,236395,
4,J04,151867,
4,J05,133110,
4,J06,179948,
4,J07,230266,
4,J08,126854,
4,J09,135340,
4,J10,221211,
4,J11,261200,
4,J12,223173,
4,J13,184273,
4,J14,239900,
4,J15,215595,
4,J16,205634,
4,J17,193213,
4,J18,271942,
4,J19,214008,
4,J20,212931,
4,J21,124502,
4,J22,203098,
4,J23,204669,
4,J24,336554,
4,K01,563369,
4,K02,439284,
4,K03,127715,
4,K04,143828,
4,K05,362238,
4,K06,389741,
4,K07,250610,
4,K08,230668,
4,K09,306760,
4,K10,114842,
4,K11,94489,
4,K12,252359,
4,K13,258225,
4,K14,245790,
4,K15,215718,
4,K16,232555,
4,K17,289712,
4,K18,226498,
4,K19,215722,
4,K20,260184,
4,K21,294429,
4,K22,397489,
4,K23,453719,
4,K24,612012,
4,L01,343826,
4,L02,98307,
4,L03,299894,
4,L04,222024,
4,L05,268736,
4,L06,232887,
4,L07,313605,
4,L08,220556,
4,L09,246984,
4,L10,305367,
4,L11,182974,
4,L12,266572,
4,L13,37453,
4,L14,195757,
4,L15,275305,
4,L16,144715,
4,L17,398148,
4,L18,284598,
4,L19,240545,
4,L20,282264,
4,L21,170946,
4,L22,214867,
4,L23,194186,
4,L24,415122,
4,M01,512282,
4,M02,270459,
4,M03,106003,
4,M04,125441,
4,M05,217663,
4,M06,249041,
4,M07,205024,
4,M08,238998,
4,M09,203109,
4,M10,142933,
4,M11,109666,
4,M12,182672,
4,M13,291059,
4,M14,253460,
4,M15,361059,
4,M16,274825,
4,M17,257634,
4,M18,228047,
4,M19,240048,
4,M20,250320,
4,M21,219278,
4,M22,285030,
4,M23,275273,
4,M24,507584,
4,N01,583669,
4,N02,202799,
4,N03,182678,
4,N04,255827,
4,N05,214855,
4,N06,292320,
4,N07,215519,
4,N08,230401,
4,N09,306119,
4,N10,235055,
4,N11,294592,
4,N12,425215,
4,N13,277761,
4,N14,261212,
4,N15,260981,
4,N16,306731,
4,N17,332761,
4,N18,53573,
4,N19,242025,
4,N20,210073,
4,N21,226171,
4,N22,209525,
4,N23,228291,
4,N24,612005,
4,O01,555472,
4,O02,496043,
4,O03,306981,
4,O04,489212,
4,O05,269796,
4,O06,338625,
4,O07,458827,
4,O08,479471,
4,O09,309175,
4,O10,268610,
4,O11,364204,
4,O12,485758,
4,O13,366110,
4,O14,515012,
4,O15,531254,
4,O16,494588,
4,O17,541898,
4,O18,569105,
4,O19,322881,
4,O20,374646,
4,O21,377618,
4,O22,576994,
4,O23,575911,
4,O24,594579,
4,P01,609542,
4,P02,569821,
4,P03,420410,
4,P04,527015,
4,P05,585329,
4,P06,557335,
4,P07,568914,
4,P08,580322,
4,P09,585073,
